"","BioInf_Sample","Sample_name","SPECIMEN.CODE","COLLECTOR.NUMBER","SPECIES","Site","state","epithet","INDEX","Specimen.CODE","collectionNumber","Alt_Coll_No","LABEL_Species_author","Cleaned_NAMES-USE-THIS","Genus","Species_ept","collectionDate","collectors","Material.type","Received.by.MOR","country","state/province","substate","substateRank","site","habitat","associates","elevation","determinationOriginal","latitude.orig","longitude.orig","datum","Altitude","photos","Collecting_Extracting.notes","Project","voucher1","voucher2","voucher3","otherVouchers","Mira.used.for:","Wild_Arb_GH_Collected","country-georef","state_province_georef","County_georef","City_georef","EXTRACTION.LABELING"
"QUE001894","S011","OAK.MOR.001250","QUE001894","OK-MG363","Quercus macrocarpa Michx.","Red Rock Canyon State Park","OK","macrocarpa",1894,"QUE001894","OK-MG363",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42907,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Oklahoma","Caddo","County","Hinton, Red Rock Canyon State Park","woody edge of picnic area",NA,"1501","Quercus macrocarpa Michx.","35.443759999999997","-98.354510000000005",NA,"1501 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001894, collection#: OK-MG363"
"QUE001783","S012","OAK.MOR.001257","QUE001783","IA-MG-239","Quercus macrocarpa Michx.","Cedar Rapids","IA","macrocarpa",1783,"QUE001783","IA-MG-239",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42899,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Iowa","Linn","County","Cedar Rapids, Cherokee Park","Park, trees in mowed grass",NA,NA,"Quercus macrocarpa Michx.","41.973599999999998","-91.7239",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001783, collection#: IA-MG-239"
"QUE001880","S013","OAK.MOR.001258","QUE001880","OK-MG349","Quercus macrocarpa Michx.","Tulsa","OK","macrocarpa",1880,"QUE001880","OK-MG349",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42906,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Oklahoma","Tulsa","County","Tulsa, Mohawk Park","mowed park",NA,"613","Quercus macrocarpa Michx.","36.220399999999998","-95.898449999999997",NA,"613 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001880, collection#: OK-MG349"
"QUE001884","S014","OAK.MOR.001259","QUE001884","OK-MG353","Quercus alba L.","Tulsa","OK","alba",1884,"QUE001884","OK-MG353",NA,"Quercus alba L.",NA,"Quercus","alba",42906,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Oklahoma","Tulsa","County","Tulsa, Mohawk Park","mowed park",NA,"614","Quercus alba L.","36.218130000000002","-95.899979999999999",NA,"614 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE001884, collection#: OK-MG353"
"QUE001907","S015","OAK.MOR.001260","QUE001907","OK-MG376","Quercus macrocarpa Michx.","Norman","OK","macrocarpa",1907,"QUE001907","OK-MG376",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42907,"Mira Garner, Sara Desmond, Abigail Moore","fresh, frozen",NA,"USA","Oklahoma","Cleveland","County","Norman, Oliver's Woods, University of Oklahoma campus","woods",NA,"1210","Quercus macrocarpa Michx.","35.176879999999997","-97.449700000000007",NA,"1210 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001907, collection#: OK-MG376"
"QUE001937","S016","OAK.MOR.001261","QUE001937","MN-MG493","Quercus macrocarpa Michx.","Prairie Moon Nursery","MN","macrocarpa",1937,"QUE001937","MN-MG493",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa ",42919,"Mira Garner, Sara Desmond, Bill Carter","fresh, frozen",NA,"USA","Minnesota","Winona","County","Winona, Prairie Moon Nursery, Wiscoy Co-op, in woods near side of path","woods",NA,"1122","Quercus macrocarpa Michx.","43.902920000000002","-91.639960000000002",NA,"1122 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001937, collection#: MN-MG493"
"QUE001982","S017","OAK.MOR.001265","QUE001982","WI-MG538","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",1982,"QUE001982","WI-MG538",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa ",42925,"Mira Garner, Sara Desmond","fresh, frozen",NA,"USA","Wisconsin","Sawyer","County","Round Lake, Chequamegon-Nicolet National Forest","Roadside","Woods dominated by Acer and red oak","1522","Quercus macrocarpa Michx.","46.0259","-91.142880000000005",NA,"1522 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE001982, collection#: WI-MG538"
"QUE002057","S018","OAK.MOR.001266","QUE002057","Minooka 2","Quercus macrocarpa Michx.","Kansas","KS","macrocarpa",2057,"QUE002057","Minooka 2",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",NA,"Ian Pearse","fresh, frozen","42948","USA","Kansas","Russell","County","Minooka Park Recreation Area","Riparian area near large resevoir","Cottonwood, willow",NA,"Quercus macrocarpa Michx.","38.963585999999999","-98.589060000000003",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",NA,NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002057, collection#: Minooka 2"
"QUE002074","S019","OAK.MOR.001267","QUE002074","Chickenbristle 3","Quercus macrocarpa Michx.","Illinois","IL","macrocarpa",2074,"QUE002074","Chickenbristle 3",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",NA,"Ian Pearse","fresh, frozen","42948","USA","Illinois","Douglas","County","Property of Bob Pearse","Mixed mesic and riparian vegetation along Kaskaskia river with oak-hickory savannas in grazed or mowed meadows.",NA,NA,"Quercus macrocarpa Michx.","39.839311000000002","-88.367744999999999",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",NA,NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002074, collection#: Chickenbristle 3"
"QUE002075","S020","OAK.MOR.001268","QUE002075","Chickenbristle 4","Quercus alba L. ?","Illinois","IL","alba",2075,"QUE002075","Chickenbristle 4",NA,"Quercus alba??",NA,"Quercus","alba",NA,"Ian Pearse","fresh, frozen","42948","USA","Illinois","Douglas","County","Property of Bob Pearse","Mixed mesic and riparian vegetation along Kaskaskia river with oak-hickory savannas in grazed or mowed meadows.",NA,NA,"Quercus alba L. ?","39.839311000000002","-88.367744999999999",NA,NA,NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005",NA,NA,NA,NA,"DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba??, SPMCODE: QUE002075, collection#: Chickenbristle 4"
