"","BioInf_Sample","Sample_name","SPECIMEN.CODE","COLLECTOR.NUMBER","SPECIES","Site","state","epithet","INDEX","Specimen.CODE","collectionNumber","Alt_Coll_No","LABEL_Species_author","Cleaned_NAMES-USE-THIS","Genus","Species_ept","collectionDate","collectors","Material.type","Received.by.MOR","country","state/province","substate","substateRank","site","habitat","associates","elevation","determinationOriginal","latitude.orig","longitude.orig","datum","Altitude","photos","Collecting_Extracting.notes","Project","voucher1","voucher2","voucher3","otherVouchers","Mira.used.for:","Wild_Arb_GH_Collected","country-georef","state_province_georef","County_georef","City_georef","EXTRACTION.LABELING"
"QUE002121","S031","OAK.MOR.001279","QUE002121","IN-MG642","Quercus alba L.","Indiana","IN","alba",2121,"QUE002121","IN-MG642",NA,"Quercus alba L.",NA,"Quercus","alba",42957,"Mira Garner, Kasey Pham","fresh, frozen","42957","USA","Indiana","Porter","County","Indiana Dunes State Park","Black oak forest, picnic area",NA,"628","Quercus alba L.","41.657380000000003","-87.060450000000003",NA,"628 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted",NA,NA,NA,"DNA Barcoding, Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002121, collection#: IN-MG642"
"QUE002153","S032","OAK.MOR.001285","QUE002153","QUBI-1052","Quercus bicolor Willd.","Vermont","VT","bicolor",2153,"QUE002153","QUBI-1052",7499202,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42961,"Paul Gugger","fresh, frozen","(tissue for DNA)8/16/2017; herbarium material: xxxx","USA","Vermont","Chittenden","County","1136 Bay Rd, Shelburne, VT, US",NA,NA,NA,NA,"44.400117459999997","-73.237527639999996",NA,NA,"https://www.inaturalist.org/observations/7499202",NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","to be mailed later",NA,NA,NA,"DNA Barcoding",NA,"USA","Vermont","Chittenden","Shelburne","Quercus bicolor Willd., SPMCODE: QUE002153, collection#: QUBI-1052"
"QUE002154","S033","OAK.MOR.001286","QUE002154","QUMAC-1053","Quercus macrocarpa Michx.","Vermont","VT","macrocarpa",2154,"QUE002154","QUMAC-1053",7499205,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42961,"Paul Gugger","fresh, frozen","(tissue for DNA)8/16/2017; herbarium material: xxxx","USA","Vermont","Chittenden","County","Shelburne Bay, Shelburne, VT, US",NA,NA,NA,NA,"44.400681349999999","-73.237569629999996",NA,NA,"https://www.inaturalist.org/observations/7499205",NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","to be mailed later",NA,NA,NA,"DNA Barcoding",NA,"USA","Vermont","Chittenden","Shelburne","Quercus macrocarpa Michx., SPMCODE: QUE002154, collection#: QUMAC-1053"
"QUE002155","S034","OAK.MOR.001287","QUE002155","QUAL-1054","Quercus alba L.","Vermont","VT","alba",2155,"QUE002155","QUAL-1054",7499207,"Quercus alba L.",NA,"Quercus","alba",42961,"Paul Gugger","fresh, frozen","(tissue for DNA)8/16/2017; herbarium material: xxxx","USA","Vermont","Chittenden","County","1-225 Industrial Pkwy, Burlington, VT, US",NA,NA,NA,NA,"44.446394699999999","-73.220153800000006",NA,NA,"https://www.inaturalist.org/observations/7499207",NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","to be mailed later",NA,NA,NA,"DNA Barcoding",NA,"USA","Vermont","Chittenden","Burlington","Quercus alba L., SPMCODE: QUE002155, collection#: QUAL-1054"
"QUE002187","S035","OAK.MOR.001288","QUE002187","MO-MG563","Quercus alba L.","Missouri","MO","alba",2187,"QUE002187","MO-MG563",NA,"Quercus alba L.",NA,"Quercus","alba",42935,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","St. Louis","County","Tyson Research Center, Eureka, MO","Upland oak-hickory forest",NA,"867","Quercus alba L.","38.510890000000003","-90.559870000000004",NA,"867 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002187, collection#: MO-MG563"
"QUE002188","S036","OAK.MOR.001289","QUE002188","MO-MG564","Quercus stellata Wangenh.","Missouri","MO","stellata",2188,"QUE002188","MO-MG564",NA,"Quercus stellata Wangenh.",NA,"Quercus","stellata",42935,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","St. Louis","County","Tyson Research Center, Eureka, MO","Oak hickory forest, upland",NA,"835","Quercus stellata Wangenh.","38.51146","-90.559169999999995",NA,"835 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus stellata Wangenh., SPMCODE: QUE002188, collection#: MO-MG564"
"QUE002189","S037","OAK.MOR.001290","QUE002189","MO-MG565","Quercus muehlenbergii Englm.","Missouri","MO","muehlenbergii",2189,"QUE002189","MO-MG565",NA,"Quercus muehlenbergii Englm.",NA,"Quercus","muehlenbergii",42935,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","St. Louis","County","Tyson Research Center, Eureka, MO","Upland oak-hickory forest",NA,"843","Quercus muehlenbergii Engelm.","38.51135","-90.559209999999993",NA,"843 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Englm., SPMCODE: QUE002189, collection#: MO-MG565"
"QUE002196","S038","OAK.MOR.001291","QUE002196","MO-MG572","Quercus bicolor Willd. ?","Missouri","MO","bicolor",2196,"QUE002196","MO-MG572",NA,"Quercus bicolor?",NA,"Quercus","bicolor",42936,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","Crawford","County","Meramec State Park, Sullivan, MO, Campground",NA,NA,"627","Quercus bicolor","38.226669999999999","-91.08296",NA,"627 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor?, SPMCODE: QUE002196, collection#: MO-MG572"
"QUE002208","S039","OAK.MOR.001292","QUE002208","MO-MG584","Quercus macrocarpa Michx.","Missouri","MO","macrocarpa",2208,"QUE002208","MO-MG584",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa ",42936,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","Crawford","County","Meramec State Park, Sullivan, MO, Campground",NA,NA,"606","Quercus macrocarpa Michx.","38.228259999999999","-91.082380000000001",NA,"606 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002208, collection#: MO-MG584"
"QUE002209","S040","OAK.MOR.001293","QUE002209","MO-MG585","Quercus stellata Wangenh.","Missouri","MO","stellata",2209,"QUE002209","MO-MG585",NA,"Quercus stellata Wangenh.",NA,"Quercus","stellata",42936,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","Crawford","County","Meramec State Park, Sullivan, MO","Roadside, upland",NA,"687","Quercus stellata Wangenh.","38.218130000000002","-91.083550000000002",NA,"687 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus stellata Wangenh., SPMCODE: QUE002209, collection#: MO-MG585"
"QUE002210","S041","OAK.MOR.001294","QUE002210","MO-MG586","Quercus alba L.","Missouri","MO","alba",2210,"QUE002210","MO-MG586",NA,"Quercus alba L.",NA,"Quercus","alba",42936,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","Crawford","County","Meramec State Park, Sullivan, MO","Roadside, upland",NA,"763","Quercus alba L.","38.217179999999999","-91.086359999999999",NA,"763 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002210, collection#: MO-MG586"
"QUE002219","S042","OAK.MOR.001295","QUE002219","MO-MG595","Quercus stellata Wangenh.","Missouri","MO","stellata",2219,"QUE002219","MO-MG595",NA,"Quercus stellata Wangenh.",NA,"Quercus","stellata",42936,"Mira Garner, Lindsey Worcester","fresh, frozen","42937","USA","Missouri","Crawford","County","Meramec State Park, Sullivan, MO, Deer Hollow Trail head","Upland",NA,"858","Quercus stellata Wangenh.","38.217860000000002","-91.092089999999999",NA,"858 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus stellata Wangenh., SPMCODE: QUE002219, collection#: MO-MG595"
"QUE002247","S043","OAK.MOR.001296","QUE002247","KS-MG427","Quercus muehlenbergii Engelm.","Kansas","KS","muehlenbergii",2247,"QUE002247","KS-MG427",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Johnson","County","Shawnee Mission Park","Woods",NA,"283","Quercus muehlenbergii Engelm.","38.978870000000001","-94.804950000000005",NA,"283 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE002247, collection#: KS-MG427"
"QUE002250","S044","OAK.MOR.001297","QUE002250","KS-MG430","Quercus muehlenbergii Engelm.","Kansas","KS","muehlenbergii",2250,"QUE002250","KS-MG430",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Johnson","County","Shawnee Mission Park","Woods",NA,"279","Quercus muehlenbergii Engelm.","38.973939999999999","-94.805090000000007",NA,"279 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE002250, collection#: KS-MG430"
"QUE002251","S045","OAK.MOR.001298","QUE002251","KS-MG431","Quercus macrocarpa Michx.","Kansas","KS","macrocarpa",2251,"QUE002251","KS-MG431",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Johnson","County","Shawnee Mission Park","Path",NA,"278","Quercus macrocarpa Michx.","38.980069999999998","-94.805199999999999",NA,"278 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002251, collection#: KS-MG431"
"QUE002252","S046","OAK.MOR.001299","QUE002252","KS-MG432","Quercus stellata Wangenh.","Kansas","KS","stellata",2252,"QUE002252","KS-MG432",NA,"Quercus stellata Wangenh.",NA,"Quercus","stellata",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Johnson","County","Shawnee Mission Park","Woods",NA,"287","Quercus stellata Wangenh.","38.980139999999999","-94.805040000000005",NA,"287 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus stellata Wangenh., SPMCODE: QUE002252, collection#: KS-MG432"
"QUE002253","S047","OAK.MOR.001300","QUE002253","KS-MG433","Quercus alba L.","Kansas","KS","alba",2253,"QUE002253","KS-MG433",NA,"Quercus alba L.",NA,"Quercus","alba",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Johnson","County","Shawnee Mission Park","Woods",NA,"280","Quercus alba L.","38.9803","-94.805319999999995",NA,"280 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002253, collection#: KS-MG433"
"QUE002282","S048","OAK.MOR.001301","QUE002282","KS-MG462","Quercus alba L.","Kansas","KS","alba",2282,"QUE002282","KS-MG462",NA,"Quercus alba L.",NA,"Quercus","alba",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Douglas","County","Breidenthal Woods/Baldwin Woods",NA,NA,"312","Quercus alba L.","38.809600000000003","-95.19265",NA,"312 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002282, collection#: KS-MG462"
"QUE002283","S049","OAK.MOR.001302","QUE002283","KS-MG463","Quercus stellata Wangenh.","Kansas","KS","stellata",2283,"QUE002283","KS-MG463",NA,"Quercus stellata Wangenh.",NA,"Quercus","stellata",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Douglas","County","Breidenthal Woods/Baldwin Woods",NA,NA,"312","Quercus stellata Wangenh.","38.809600000000003","-95.19265",NA,"312 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus stellata Wangenh., SPMCODE: QUE002283, collection#: KS-MG463"
"QUE002284","S050","OAK.MOR.001303","QUE002284","KS-MG464","Quercus macrocarpa Michx.","Kansas","KS","macrocarpa",2284,"QUE002284","KS-MG464",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Douglas","County","Breidenthal Woods/Baldwin Woods","Woods",NA,"303","Quercus macrocarpa Michx.","38.808700000000002","-95.193889999999996",NA,"303 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002284, collection#: KS-MG464"
"QUE002285","S051","OAK.MOR.001304","QUE002285","KS-MG465","Quercus muehlenbergii Engelm.","Kansas","KS","muehlenbergii",2285,"QUE002285","KS-MG465",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42914,"Mira Garner, Craig C. Freeman, Sara Desmond","fresh, frozen","42916","USA","Kansas","Douglas","County","Breidenthal Woods/Baldwin Woods",NA,NA,"303","Quercus muehlenbergii Engelm.","38.808700000000002","-95.193889999999996",NA,"303 m",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE002285, collection#: KS-MG465"
"QUE002295","S052","OAK.MOR.001305","QUE002295","KS-MG475","Quercus macrocarpa Michx.","Kansas","KS","macrocarpa",2295,"QUE002295","KS-MG475",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42915,"Mira Garner, Sara Desmond","fresh, frozen","42916","USA","Kansas","Riley","County","Konza Prairie, Manhattan, KS, Near nature trail-along King's Creek",NA,NA,"1198","Quercus macrocarpa Michx.","39.107089999999999","-96.60772",NA,"1198 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002295, collection#: KS-MG475"
"QUE002302","S053","OAK.MOR.001306","QUE002302","KS-MG482","Quercus macrocarpa Michx.","Kansas","KS","macrocarpa",2302,"QUE002302","KS-MG482",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42915,"Mira Garner, Sara Desmond","fresh, frozen","42916","USA","Kansas","Riley","County","Konza Prairie, Manhattan, KS, Along King's Creek",NA,NA,"1098","Quercus macrocarpa Michx.","39.103389999999997","-96.596159999999998",NA,"1098 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002302, collection#: KS-MG482"
"QUE002303","S054","OAK.MOR.001307","QUE002303","KS-MG483","Quercus muehlenbergii Engelm.","Kansas","KS","muehlenbergii",2303,"QUE002303","KS-MG483",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42915,"Mira Garner, Sara Desmond","fresh, frozen","42916","USA","Kansas","Riley","County","Konza Prairie, Manhattan, KS","Roadside, along prairie",NA,"1125","Quercus muehlenbergii Engelm.","39.101579999999998","-96.599819999999994",NA,"1125 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE002303, collection#: KS-MG483"
"QUE002304","S055","OAK.MOR.001308","QUE002304","KS-MG484","Quercus muehlenbergii Engelm.","Kansas","KS","muehlenbergii",2304,"QUE002304","KS-MG484",NA,"Quercus muehlenbergii Engelm.",NA,"Quercus","muehlenbergii",42915,"Mira Garner, Sara Desmond","fresh, frozen","42916","USA","Kansas","Riley","County","Konza Prairie, Manhattan, KS, Along nature trail",NA,NA,"1094","Quercus muehlenbergii Engelm.","39.107909999999997","-96.604690000000005",NA,"1094 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus muehlenbergii Engelm., SPMCODE: QUE002304, collection#: KS-MG484"
"QUE002326","S056","OAK.MOR.001309","QUE002326","MI-MG663","Quercus macrocarpa Michx.","Michigan","MI","macrocarpa",2326,"QUE002326","MI-MG663",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42963,"Mira Garner, Kasey Pham","fresh, frozen","42965","USA","Michigan","Bay","County","Pinconning Park, Campground","Lakeshore oak  maple woods",NA,"624","Quercus macrocarpa Michx.","43.853230000000003","-83.923000000000002",NA,"624 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding, Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002326, collection#: MI-MG663"
"QUE002336","S057","OAK.MOR.001310","QUE002336","MI-MG673","Quercus macrocarpa Michx.","Michigan","MI","macrocarpa",2336,"QUE002336","MI-MG673",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42963,"Mira Garner, Kasey Pham","fresh, frozen","42965","USA","Michigan","Washtenaw","County","Barton Nature Area, Ann Arbor, Picnic Area","Oak hickory woods",NA,"760","Quercus macrocarpa Michx.","42.30836","-83.756709999999998",NA,"760 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002336, collection#: MI-MG673"
"QUE002337","S058","OAK.MOR.001311","QUE002337","MI-MG674","Quercus alba L.","Michigan","MI","alba",2337,"QUE002337","MI-MG674",NA,"Quercus alba L.",NA,"Quercus","alba",42963,"Mira Garner, Kasey Pham","fresh, frozen","42965","USA","Michigan","Washtenaw","County","Barton Nature Area, Ann Arbor, Off Trail","Oak hickory woods",NA,"824","Quercus alba L.","42.304740000000002","-83.750799999999998",NA,"824 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002337, collection#: MI-MG674"
"QUE002355","S059","OAK.MOR.001312","QUE002355","MI-MG692","Quercus alba L.","Michigan","MI","alba",2355,"QUE002355","MI-MG692",NA,"Quercus alba L.",NA,"Quercus","alba",42964,"Mira Garner, Kasey Pham","fresh, frozen","42965","USA","Michigan","Ingham","County","Lake Lansing Park, East Lansing, Picnic Area","Oak hickory woods",NA,"909","Quercus alba L.","42.766620000000003","-84.391139999999993",NA,"909 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002355, collection#: MI-MG692"
"QUE002356","S060","OAK.MOR.001313","QUE002356","MI-MG693","Quercus macrocarpa Michx.","Michigan","MI","macrocarpa",2356,"QUE002356","MI-MG693",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42964,"Mira Garner, Kasey Pham","fresh, frozen","42965","USA","Michigan","Ingham","County","Lake Lansing Park, East Lansing, Edge of marsh","Oak hickory woods",NA,"887","Quercus macrocarpa Michx.","42.765120000000003","-84.389020000000002",NA,"887 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002356, collection#: MI-MG693"
"QUE002360","S061","OAK.MOR.001314","QUE002360","MI-MG697","Quercus bicolor Willd.","Michigan","MI","bicolor",2360,"QUE002360","MI-MG697",NA,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42964,"Mira Garner, Kasey Pham","fresh, frozen","42965","USA","Michigan","Ingham","County","Lake Lansing Park, East Lansing, Edge of marsh","Oak hickory woods",NA,"953","Quercus bicolor Willd.","42.795140000000004","-84.392660000000006",NA,"953 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002360, collection#: MI-MG697"
"QUE002361","S062","OAK.MOR.001315","QUE002361","MI-MG698","Quercus bicolor Willd.","Michigan","MI","bicolor",2361,"QUE002361","MI-MG698",NA,"Quercus bicolor Willd.",NA,"Quercus","bicolor",42964,"Mira Garner, Kasey Pham","fresh, frozen","42965","USA","Michigan","Ingham","County","Lake Lansing Park, East Lansing, Edge of marsh","Oak hickory woods",NA,"908","Quercus bicolor Willd.","42.765259999999998","-84.382540000000006",NA,"908 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus bicolor Willd., SPMCODE: QUE002361, collection#: MI-MG698"
"QUE002366","S063","OAK.MOR.001316","QUE002366","WI-MG703","Quercus alba L.","Wisconsin","WI","alba",2366,"QUE002366","WI-MG703",NA,"Quercus alba L.",NA,"Quercus","alba",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1153","Quercus alba L.","43.016759999999998","-90.114189999999994",NA,"1153 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002366, collection#: WI-MG703"
"QUE002367","S064","OAK.MOR.001317","QUE002367","WI-MG704","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2367,"QUE002367","WI-MG704",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42969,"Mira Garner","fresh, frozen","42972","USA","Wisconsin","Iowa","County","Governor Dodge State Park, Dodgeville, Cox Hollow Campground","Upland woods","Quercus alba, Quercus macrocarpa, black oak, maple, cedar","1133","Quercus macrocarpa Michx.","43.016849999999998","-90.114810000000006",NA,"1133 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002367, collection#: WI-MG704"
"QUE002399","S065","OAK.MOR.001318","QUE002399","WI-MG736","Quercus macrocarpa Michx.","Wisconsin","WI","macrocarpa",2399,"QUE002399","WI-MG736",NA,"Quercus macrocarpa Michx.","alba","Quercus","alba",42970,"Mira Garner, Nancy Deaton, Marlin Johnson","fresh, frozen","42972","USA","Wisconsin","Waukesha","County","University of Wisconsin - Waukesha Field Station, Ottawa",NA,NA,"920","Quercus macrocarpa Michx.","43.017060000000001","-88.435310000000001",NA,"920 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding, Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002399, collection#: WI-MG736"
"QUE002400","S066","OAK.MOR.001319","QUE002400","WI-MG737","Quercus alba L.","Wisconsin","WI","alba",2400,"QUE002400","WI-MG737",NA,"Quercus alba L.","macrocarpa","Quercus","macrocarpa",42970,"Mira Garner, Nancy Deaton, Marlin Johnson","fresh, frozen","42972","USA","Wisconsin","Waukesha","County","University of Wisconsin - Waukesha Field Station, Ottawa",NA,NA,"932","Quercus alba L.","43.016069999999999","-88.435130000000001",NA,"932 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding, Fungal Endophytes","wild",NA,NA,NA,NA,"Quercus alba L., SPMCODE: QUE002400, collection#: WI-MG737"
"QUE002424","S067","OAK.MOR.001320","QUE002424","MN-MG761","Quercus macrocarpa Michx.","Minnesota","MN","macrocarpa",2424,"QUE002424","MN-MG761",NA,"Quercus macrocarpa Michx.",NA,"Quercus","macrocarpa",42974,"Mira Garner","fresh, frozen","42977","USA","Minnesota","Le Sueur","County","Ottawa Bluffs","Oak grove in hilltop prairie","Sumac, solidago, lespedeza, Sorghastrum nutans","865","Quercus macrocarpa Michx.","44.363880000000002","-93.935429999999997",NA,"865 ft",NA,NA,"Characterization of Native Oak Germplasm, Quercus macrocarpa and related white oaks. USDA SCA 58-8020-5-005","MOR-unmounted","x","x","x","DNA Barcoding","wild",NA,NA,NA,NA,"Quercus macrocarpa Michx., SPMCODE: QUE002424, collection#: MN-MG761"
